NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Study Type,Start Date,Primary Completion Date,Completion Date,Patient friendly summary,Field1,Relevant for rare cancer?,Genetic,Key inclusion criteria,Key exclusion criteria,Gene,Rare Cancer Types,Location,Tumour agnostic?,Reviewed,Drugs,Biologicals,Max ECOG,For untreated patients?,Trial cohort,Cohorts,Trial Question,Trial Drug,How given?,Updated locations
"NCT03067051","Clinical Study to Assess the Safety and Efficacy of the SpectraCure P18 System","https://clinicaltrials.gov/study/NCT03067051",,"RECRUITING","The rationale for the study is to obtain safety and efficacy data as well as to establish dose parameters for the SpectraCure P18 System with IDOSEÂ®, with verteporfin for injection (VFI) as photosensitizer for the treatment of recurrent prostate cancer.","Recurrent Prostate Cancer","DRUG: Verteporfin|DEVICE: SpectraCure P18 System","SpectraCure AB",,"MALE","ADULT, OLDER_ADULT","PHASE1|PHASE2",66,"INTERVENTIONAL","03/21/17 00:00:00","07/31/24 00:00:00","12/31/24 00:00:00",0,232,0,0,,,232,232,232,0,1,232,232,,0,,11,,,,11
"NCT03093116","A Study of Repotrectinib (TPX-0005) in Patients With Advanced Solid Tumors Harboring ALK, ROS1, or NTRK1-3 Rearrangements","https://clinicaltrials.gov/study/NCT03093116","TRIDENT-1","RECRUITING","Phase 1 dose escalation will determine the first cycle dose-limiting toxicities (DLTs), the maximum tolerated dose (MTD), the biologically effective dose and recommended Phase 2 dose (RP2D) of repotrectinib given to adult subjects with advanced solid malignancies harboring an ALK, ROS1, NTRK1, NTRK2, or NTRK3 gene rearrangement.

Midazolam DDI substudy will examine effect of of repotrectinib on CYP3A induction.

Phase 2 will determine the confirmed Overall Response Rate (ORR) as assessed by Blinded Independent Central Review (BICR) of repotrectinib in each subject population expansion cohort of advanced solid tumors that harbor a ROS1, NTRK1, NTRK2, or NTRK3 gene rearrangement. The secondary objective will include the duration of response (DOR), time to response (TTR), progression-free survival (PFS), overall survival (OS) and clinical benefit rate (CBR) of repotrectinib in each expansion cohort of advanced solid tumors that harbor a ROS1, NTRK1, NTRK2, or NTRK3 gene rearrangement.","Locally Advanced Solid Tumors|Metastatic Solid Tumors","DRUG: Oral repotrectinib (TPX-0005)","Turning Point Therapeutics, Inc.","Zai Lab (Shanghai) Co., Ltd.","ALL","CHILD, ADULT, OLDER_ADULT","PHASE1|PHASE2",500,"INTERVENTIONAL","03/07/17 00:00:00","02/29/28 00:00:00","02/29/28 00:00:00",0,26,1,1,,,26,26,26,1,1,26,26,"1",0,,12,,,,12
"NCT03108495","Study of LN-145, Autologous Tumor Infiltrating Lymphocytes in the Treatment of Patients With Cervical Carcinoma","https://clinicaltrials.gov/study/NCT03108495",,"RECRUITING","Prospective, multicenter, single-arm, open label, interventional study evaluating adoptive cell therapy (ACT) with autologous tumor infiltrating lymphocytes (TIL) infusion (LN-145) followed by IL-2 after a non-myeloablative (NMA) lymphodepletion preparative regimen for the treatment of patients with recurrent, metastatic, or persistent cervical carcinoma","Cervical Carcinoma","BIOLOGICAL: LN-145|BIOLOGICAL: LN-145 + pembrolizumab","Iovance Biotherapeutics, Inc.",,"FEMALE","ADULT, OLDER_ADULT","PHASE2",189,"INTERVENTIONAL","06/22/17 00:00:00","12/01/25 00:00:00","12/01/30 00:00:00",0,247,1,0,"Must have recurrent, metastatic, or persistent squamous cell carcinoma (SCC), adenosquamous carcinoma (ASC), or adenocarcinoma (AC) of the cervix that is not amenable to curative treatment with surgery and/or radiation therapy.",,247,247,247,0,1,247,247,"1",0,,13,,,,13
"NCT03150576","Platinum and Polyadenosine 5'Diphosphoribose Polymerisation Inhibitor for Neoadjuvant Treatment of Triple Negative Breast Cancer and/or Germline BRCA Positive Breast Cancer","https://clinicaltrials.gov/study/NCT03150576","PARTNER","RECRUITING","This neoadjuvant trial for patients with TNBC and/or gBRCA breast cancer, aims to investigate the safety and efficacy (improvement in pathological Complete Response at surgery) of concurrent platinum-based chemotherapy with olaparib an inhibitor of the PARP enzyme (PARPi).","Breast Cancer","DRUG: Olaparib|DRUG: Paclitaxel and Carboplatin","Cambridge University Hospitals NHS Foundation Trust","AstraZeneca|Cancer Research UK","ALL","CHILD, ADULT, OLDER_ADULT","PHASE2|PHASE3",780,"INTERVENTIONAL","05/01/16 00:00:00","06/01/24 00:00:00","06/01/34 00:00:00",0,185,0,0,,,185,185,185,0,1,185,185,,0,,14,,,,14
"NCT03157128","A Study of Selpercatinib (LOXO-292) in Participants With Advanced Solid Tumors, RET Fusion-Positive Solid Tumors, and Medullary Thyroid Cancer (LIBRETTO-001)","https://clinicaltrials.gov/study/NCT03157128","LIBRETTO-001","RECRUITING","This is an open-label, first-in-human study designed to evaluate the safety, tolerability, pharmacokinetics (PK) and preliminary anti-tumor activity of selpercatinib (also known as LOXO-292) administered orally to participants with advanced solid tumors, including rearranged during transfection (RET)-fusion-positive solid tumors, medullary thyroid cancer (MTC) and other tumors with RET activation.","Non-Small Cell Lung Cancer|Medullary Thyroid Cancer|Colon Cancer|Any Solid Tumor","DRUG: LOXO-292","Loxo Oncology, Inc.","Eli Lilly and Company","ALL","CHILD, ADULT, OLDER_ADULT","PHASE1|PHASE2",875,"INTERVENTIONAL","05/02/17 00:00:00","02/28/25 00:00:00","02/28/25 00:00:00",0,143,1,1,"NB Meduullary Thyroid cancer arms now closed",,143,143,143,1,1,143,143,"2",0,,15,,,,15
"NCT03165734","A Phase 3 Study of Pacritinib in Patients With Primary Myelofibrosis, Post Polycythemia Vera Myelofibrosis, or Post-Essential Thrombocythemia Myelofibrosis","https://clinicaltrials.gov/study/NCT03165734","PACIFICA","RECRUITING","This study (study ID PAC203 North America; PAC303 ex-North America) is evaluating 200 mg BID of pacritinib compared to physician's choice (P/C) therapy in patients with MF and severe thrombocytopenia (platelet count \<50,000/Î¼L). Approximately 399 patients in total will be enrolled, randomized 2:1 to either pacritinib (approximately 266 patients) or to P/C therapy (approximately 133 patients)

Condition or disease: Primary Myelofibrosis/Post-Polycythemia Vera Myelofibrosis/ Post-essential Thrombocythemia Myelofibrosis

Intervention/treatment: Drug-Pacritinib","Primary Myelofibrosis|Post-polycythemia Vera Myelofibrosis|Post-essential Thrombocythemia Myelofibrosis","DRUG: Pacritinib|DRUG: Physician's Choice medications","CTI BioPharma","PSI CRO","ALL","ADULT, OLDER_ADULT","PHASE3",399,"INTERVENTIONAL","06/26/17 00:00:00","06/30/25 00:00:00","12/31/25 00:00:00",1,436,1,0,"Limited exposure to JAK2 inhibitor",,436,436,436,0,1,436,436,"2",0,,16,,,,16
"NCT03288532","Renal Adjuvant MultiPle Arm Randomised Trial","https://clinicaltrials.gov/study/NCT03288532","RAMPART","RECRUITING","RATIONALE: The current global standard of care after nephrectomy for localised RCC therefore remains active monitoring (i.e., observation by clinical and radiological means). 30-40% patients with initially localised RCC develop metastatic disease following nephrectomy. Need for adjuvant therapy is most marked in the high risk population where outcomes are predictably poor. However, the risk of recurrence in patients who are of intermediate risk of recurrence is not insignificant. Unfortunately, despite showing efficacy in advanced RCC, the results in the adjuvant setting, so far, are inconclusive.

AIM: RAMPART is a phase III Multi-Arm Multi-Stage randomised controlled platform trial, initiated with three arms. The trial is assessing if durvalumab monotherapy or the combination of durvalumab and tremelimumab can improve Disease Free Survival (DFS) or Overall Survival (OS) compared to the current global standard-of-care (active monitoring). At the start of recruitment, patients with Leibovich scores 3 to 11 will be eligible for randomisation. Accrual of intermediate risk patients (Leibovich scores 3 5) will stop after 3 years or when intermediate risk patients contribute 25% of the total accrual target, whichever is earlier. Recruitment of patients with Leibovich scores 6 to 11 will continue until the accrual target is reached.","Renal Cell Carcinoma","DRUG: Durvalumab|DRUG: Tremelimumab","University College, London","AstraZeneca|Kidney Cancer UK|Cancer Research UK","ALL","ADULT, OLDER_ADULT","PHASE3",1750,"INTERVENTIONAL","07/19/18 00:00:00","07/01/24 00:00:00","07/01/24 00:00:00",0,402,1,0,,,402,402,402,0,1,402,402,"1",1,,18,,,,18
"NCT03363373","Naxitamab for High-Risk Neuroblastoma Patients With Primary Refractory Disease or Incomplete Response to Salvage Treatment in Bone and/or Bone Marrow","https://clinicaltrials.gov/study/NCT03363373",,"RECRUITING","Children and adults diagnosed with high-risk neuroblastoma patients with primary refractory disease or incomplete response to salvage treatment in bone and/or bone marrow will be treated for up to 101 weeks with naxitamab and granulocyte-macrophage colony stimulating factor (GM-CSF). Patients will be followed for up to five years after first dose.

Naxitamab, also known as hu3F8 is a humanised monoclonal antibody targeting GD2","Neuroblastoma","BIOLOGICAL: GM-CSF + Naxitamab","Y-mAbs Therapeutics",,"ALL","CHILD, ADULT, OLDER_ADULT","PHASE2",122,"INTERVENTIONAL","04/03/18 00:00:00","05/01/25 00:00:00","04/01/28 00:00:00",0,315,1,0,"High risk or refractory neuroblastoma",,315,315,315,0,1,315,315,"not stated",1,,19,,,,19
"NCT03391778","Adoptive Cell Therapy Long-term Follow-up (LTFU) Study","https://clinicaltrials.gov/study/NCT03391778",,"RECRUITING","This trial will evaluate long term safety of participants who have received AdaptImmune (ADP) adoptive cell therapy for up to 15 years following last adoptive cell therapy infusion.","Neoplasms","BIOLOGICAL: ADP adoptive cell therapy","Adaptimmune",,"ALL","CHILD, ADULT, OLDER_ADULT","PHASE1",250,"INTERVENTIONAL","04/09/18 00:00:00","04/01/32 00:00:00","04/01/32 00:00:00",0,41,0,0,,,41,41,41,0,1,41,41,,0,,20,,,,20
"NCT03394365","Tabelecleucel for Solid Organ or Allogeneic Hematopoietic Cell Transplant Participants With Epstein-Barr Virus-Associated Post-Transplant Lymphoproliferative Disease (EBV+ PTLD) After Failure of Rituximab or Rituximab and Chemotherapy","https://clinicaltrials.gov/study/NCT03394365","ALLELE","RECRUITING","The purpose of this study is to determine the clinical benefit and characterize the safety profile of tabelecleucel for the treatment of Epstein-Barr virus-associated post-transplant lymphoproliferative disease (EBV+ PTLD) in the setting of (1) solid organ transplant (SOT) after failure of rituximab and rituximab plus chemotherapy or (2) allogeneic hematopoietic cell transplant (HCT) after failure of rituximab.","Epstein-Barr Virus+ Associated Post-transplant Lymphoproliferative Disease (EBV+ PTLD)|Solid Organ Transplant Complications|Lymphoproliferative Disorders|Allogeneic Hematopoietic Cell Transplant|Stem Cell Transplant Complications","BIOLOGICAL: tabelecleucel","Atara Biotherapeutics",,"ALL","CHILD, ADULT, OLDER_ADULT","PHASE3",66,"INTERVENTIONAL","12/29/17 00:00:00","06/01/22 00:00:00","06/01/27 00:00:00",0,317,0,0,,,317,317,317,0,1,317,317,,0,,21,,,,21
"NCT03423628","A Study to Assess the Safety and Tolerability of AZD1390 Given With Radiation Therapy in Patients With Brain Cancer","https://clinicaltrials.gov/study/NCT03423628",,"RECRUITING","This study will test an investigational drug called AZD1390 in combination with radiation therapy for the treatment of brain tumors. This is the first time AZD1390 is being given to patients. This study will test safety, tolerability and PK (how the drug is absorbed, distributed and eliminated) of ascending doses of AZD1390 in combination with distinct regimens of radiation therapy","Recurrent Glioblastoma Multiforme|Primary Glioblastoma Multiforme|Brain Neoplasms, Malignant|Leptomeningeal Disease (LMD)","RADIATION: Radiation Therapy|DRUG: AZD1390","AstraZeneca",,"ALL","ADULT, OLDER_ADULT","PHASE1",120,"INTERVENTIONAL","04/02/18 00:00:00","04/22/26 00:00:00","04/22/26 00:00:00",0,204,1,0,"Histologically proven diagnosis of GBM. Patients who have had RT for low-grade glioma (LGG) or grade 3 glioma and have subsequently relapsed to histologically confirmed GBM can be considered

Completion of first-line radiation at least 6 months prior to Cycle 1 Day 1.","Past medical history of interstitial lung disease
Has previously received ATM inhibitor with concurrent RT",204,204,204,0,1,204,204,"2",0,"Primary brain tumours",22,,,,22
